model,precision,recall,rougeL f1
model01,0.3078477788505046,0.25436406793568234,0.27856194699916653
model02,0.2567052862186461,0.26469244491412824,0.2606376889441872
model03,0.318239413978172,0.2621177123688382,0.2874650224513017
model04,0.3143332356074826,0.28005968569096007,0.29620832958154786
model05,0.2826724058133462,0.2782852921582799,0.28046169371163454
model06,0.05697476539635574,0.28851986956588244,0.09515836263275107
model07,0.11292666666403285,0.2844485600871187,0.16167000641002635
model08,0.13244541008303445,0.2943664899260459,0.18269167505465114
model09,0.2022840476630029,0.2199287956174277,0.21073772474322347
model10,0.25387779932180926,0.2529066682395747,0.2533913033106014
model11,0.0,0.0,
model12,0.0036369934187738136,0.0009406812446299804,0.0014947551966654087
model13,0.2576098712137038,0.2442204213636498,0.2507365227879248
model14,0.15843368970376037,0.2903919296844482,0.20501443274479342
model15,0.28041295373568387,0.2604994657038303,0.2700896559197855
model16,0.2588580179133569,0.22729294063314087,0.242050741909072
model17,0.2492749251717543,0.2119877578337409,0.22912424706467832
model18,0.18678133716663808,0.2755306142406535,0.22263744816268102
model19,0.29192465846941285,0.25723789642217065,0.2734858172304102
model20,0.2789731443094821,0.26692612197678023,0.2728167050041433
model21,0.2604870831235334,0.24420096558562104,0.2520812505231609
model22,0.22302558328475466,0.2531863769913653,0.23715086607867636
model23,0.06680432000218428,0.27711945570882207,0.10765627796293603
model24,0.2828363805596609,0.26996813994995494,0.27625248613914344
model25,0.20900613707697835,0.18473062388675482,0.19612003717350202
model26,0.25437640445299337,0.24687007167586927,0.2505670331488416
